Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
Be_angry2,1,1,tongue,phonemes,105,Cv,b,e,4505954,4506008,4505854,bilabial,stop,yes,bilabial
Pe_happy2,1,2,tongue,phonemes,106,Cv,p,e,4513951,4514094,4513851,bilabial,stop,no,bilabial
Do_angry2,0,3,control_tongue,phonemes,107,Cv,d,o,4521949,4522002,4521849,alveolar,stop,yes,alveolar
eB_angry2,1,1,tongue,phonemes,108,vC,e,b,4529948,4530218,4529848,alveolar,stop,no,alveolar
Tu_happy1,1,4,tongue,phonemes,109,Cv,t,u,4537947,4538043,4537847,alveolar,stop,no,alveolar
iT_happy1,1,4,tongue,phonemes,110,vC,i,t,4545946,4546229,4545846,alveolar,stop,no,alveolar
eP_angry1,0,2,control_tongue,phonemes,111,vC,e,p,4553945,4554234,4553845,alveolar,stop,no,alveolar
oB_angry2,1,1,tongue,phonemes,112,vC,o,b,4562010,4562342,4561910,alveolar,stop,no,alveolar
Te_angry2,1,4,tongue,phonemes,113,Cv,t,e,4569942,4570054,4569842,alveolar,stop,no,alveolar
uD_happy1,1,3,tongue,phonemes,114,vC,u,d,4577941,4578289,4577841,alveolar,stop,no,alveolar
Bo_happy1,1,1,tongue,phonemes,115,Cv,b,o,4585941,4585995,4585841,bilabial,stop,yes,bilabial
eP_happy1,1,2,tongue,phonemes,116,vC,e,p,4593939,4594224,4593839,alveolar,stop,no,alveolar
Pa_happy2,1,2,tongue,phonemes,117,Cv,p,a,4601972,4602132,4601872,bilabial,stop,no,bilabial
aB_happy2,0,1,control_tongue,phonemes,118,vC,a,b,4609969,4610304,4609869,alveolar,stop,no,alveolar
aT_happy2,0,4,control_tongue,phonemes,119,vC,a,t,4617971,4618212,4617871,alveolar,stop,no,alveolar
Tu_angry1,1,4,tongue,phonemes,120,Cv,t,u,4625968,4626080,4625868,alveolar,stop,no,alveolar
aB_happy2,1,1,tongue,phonemes,1,vC,a,b,4882464,4882799,4882364,alveolar,stop,no,alveolar
aT_happy2,1,4,tongue,phonemes,2,vC,a,t,4890396,4890637,4890296,alveolar,stop,no,alveolar
